text,label
Find the last email from Michael.,email
Get all emails from Anna sent in the past month.,email
List my Outlook reminders for today.,email
Forward the email about marketing plan to Laura.,email
Send me the attachment from Emily's last message.,email
Show me my unread emails from today.,email
List my Outlook reminders for today.,email
Check my calendar for meetings with James.,email
List my Outlook reminders for today.,email
Check my calendar for meetings with Sarah.,email
Summarize the conversation with David via email.,email
Get all emails from Michael sent in the past month.,email
Get all emails from Sarah sent in the past month.,email
Forward the email about marketing plan to Emily.,email
Get all emails from David sent in the past month.,email
List my Outlook reminders for today.,email
What is the subject of the latest email from Anna?,email
Show my flagged messages from last week.,email
Summarize the conversation with Sarah via email.,email
What is the subject of the latest email from Emily?,email
Forward the email about quarterly report to Anna.,email
Show my flagged messages from last week.,email
Show my flagged messages from last week.,email
Check my calendar for meetings with Anna.,email
Summarize the conversation with Sarah via email.,email
Show me my unread emails from today.,email
Send me the attachment from Sarah's last message.,email
List my Outlook reminders for today.,email
Check my calendar for meetings with David.,email
Summarize the conversation with Michael via email.,email
Find the last email from David.,email
Send me the attachment from David's last message.,email
List my Outlook reminders for today.,email
Forward the email about project Alpha to John.,email
Get all emails from Michael sent in the past month.,email
List my Outlook reminders for today.,email
Send me the attachment from Sarah's last message.,email
Check my calendar for meetings with Sarah.,email
What is the subject of the latest email from John?,email
Show my flagged messages from last week.,email
Find the last email from David.,email
List my Outlook reminders for today.,email
Find the last email from Laura.,email
Check my calendar for meetings with James.,email
Send me the attachment from Emily's last message.,email
Forward the email about sales targets to Laura.,email
Send me the attachment from Emily's last message.,email
What is the subject of the latest email from Laura?,email
Summarize the conversation with Emily via email.,email
List my Outlook reminders for today.,email
Locate the folder for project Alpha on OneDrive.,drive
Download the latest version of the quarterly report document.,drive
Find the Excel sheet containing the project Alpha data.,drive
Send me the OneDrive file with the sales targets report.,drive
Find the Excel sheet containing the financial forecast data.,drive
Show me the file named sales targets.docx in OneDrive.,drive
Check OneDrive for the document called contract template.pdf.,drive
Retrieve the PowerPoint presentation about sales targets.,drive
Retrieve the PowerPoint presentation about sales targets.,drive
Check OneDrive for the document called compliance manual.pdf.,drive
Fetch the archived document related to project Alpha.,drive
Check OneDrive for the document called invoice list.pdf.,drive
Retrieve the PowerPoint presentation about quarterly report.,drive
Check OneDrive for the document called quarterly report.pdf.,drive
Get the final draft of invoice list from OneDrive.,drive
Fetch the archived document related to compliance manual.,drive
Check OneDrive for the document called marketing plan.pdf.,drive
Locate the folder for contract template on OneDrive.,drive
Show me the file named quarterly report.docx in OneDrive.,drive
Fetch the archived document related to marketing plan.,drive
Show me the file named project Alpha.docx in OneDrive.,drive
Locate the folder for contract template on OneDrive.,drive
Find the Excel sheet containing the quarterly report data.,drive
Check OneDrive for the document called compliance manual.pdf.,drive
Locate the folder for budget on OneDrive.,drive
Show me the file named compliance manual.docx in OneDrive.,drive
Get the final draft of sales targets from OneDrive.,drive
Find the Excel sheet containing the marketing plan data.,drive
Download the latest version of the employee handbook document.,drive
Send me the OneDrive file with the contract template report.,drive
Send me the OneDrive file with the compliance manual report.,drive
Send me the OneDrive file with the quarterly report report.,drive
Send me the OneDrive file with the marketing plan report.,drive
Check OneDrive for the document called project Alpha.pdf.,drive
Show me the file named employee handbook.docx in OneDrive.,drive
Check OneDrive for the document called project Alpha.pdf.,drive
Send me the OneDrive file with the project Alpha report.,drive
Send me the OneDrive file with the marketing plan report.,drive
Locate the folder for marketing plan on OneDrive.,drive
Get the final draft of sales targets from OneDrive.,drive
Send me the OneDrive file with the budget report.,drive
Fetch the archived document related to quarterly report.,drive
Send me the OneDrive file with the employee handbook report.,drive
Retrieve the PowerPoint presentation about budget.,drive
Download the latest version of the invoice list document.,drive
Fetch the archived document related to budget.,drive
Check OneDrive for the document called employee handbook.pdf.,drive
Fetch the archived document related to budget.,drive
Check OneDrive for the document called marketing plan.pdf.,drive
Show me the file named marketing plan.docx in OneDrive.,drive
Summarize the conversation with John and attach the related contract template file from OneDrive.,mixed
Forward the signed document from James and store the financial forecast file in OneDrive.,mixed
Summarize the conversation with Michael and attach the related compliance manual file from OneDrive.,mixed
Email me the contract from James and also get the budget guidelines document from OneDrive.,mixed
Get both the document for marketing plan and the last email from Emily.,mixed
Send me the email from Michael and include the invoice list presentation from OneDrive.,mixed
Check my emails from John and fetch the budget file from OneDrive.,mixed
Get the last email thread with David and upload the marketing plan report to OneDrive.,mixed
Summarize the conversation with Laura and attach the related quarterly report file from OneDrive.,mixed
Get the last email thread with David and upload the marketing plan report to OneDrive.,mixed
Retrieve the final report for sales targets from OneDrive and send me the related email from Laura.,mixed
